Party,Name,OfficialName,Type,Status,Seasonality,SiteName,Latitude,Longitude,MaxPopulation,Capacity,Remarks,DateEstablished,AccommodationCapacity,MedicalFacilities,OperatingPeriodFrom,OperatingPeriodTo,UrlLink
Australia,Robinson Ridge Refuge,,Refuge,Open,Year-Round,Robinson Ridge,-66.368888,110.594444,,4,A rebuilt old-Casey building mounted on skids. It accommodates 4 people  equipped with a radio  food  fuel and cooking facilities and has a list of instructions peculiar to its fittings and contents.        Robinson's Ridge Refuge is located 10 km due south of Casey station. The 15 km caned route for any type of vehicle is initially along the western edge of the Loken Moraine for approximately 4 km and then through the gap to the eastern side of the moraine for the last 6 km. Travellers must keep well clear of the dangerously crevassed area at the southern end of the moraine line on the shores of Sparkes Bay  turning west for the final approach from the Kros Moraine.        Established 1988. Used in summer to support field personnel  and for recreation.,,,Comprehensive first aid kit,---,---,
Australia,Rookery Lake Refuge,,Refuge,Open,Year-Round,Rookery Lake,-68.498055,78.073055,,2,Used as an emergency refuge and in summer by field personnel in support of monitoring programs on Adelie penguins.        Accommodates 2 people (Apple hut)  is equipped with food  fuel and cooking facilities and has a list of instructions peculiar to the hut's fittings and contents. No radio equipment present.        Rookery Lake hut is located at the western end of Long Peninsula  Vestfold Hills. ,,,Comprehensive first aid kit.,---,---,
Australia,Rumdoodle Hut,,Refuge,Open,Year-Round,Rumdoodle Lake,-67.768888,62.816944,,5,Rumdoodle is located 18.5 km south of Mawson. The shelter is known as 'Maxine's' and is situated at the western foot of the range  approximately 2 km from its northern end.        Accommodates five persons. It contains food and fuel for heating  lighting  and cooking (either kerosene or LPG).        It is used as shelter for visitors to the North Masson Range. Although it has been used for snow petrel research  its main usage is for recreational visits and field training.        ,,,Comprehensive first aid kit.,---,---,
Australia,Scullin Monolith Refuge,,Refuge,Open,Year-Round,Scullin Monolith,-67.783333,66.7,,2,The Scullin Monolith shelter is located approximately 180 km east of Mawson. It is not usually accessible overland from the station but is resupplied and checked from vessels offshore or by helicopter.        Established in 1988.  It is used as a depot in support of summer field programs in ASPA 164.  Accommodates two persons (Apple hut). It contains food and fuel for heating  lighting  and cooking (either kerosene or LPG). ATK,,,Comprehensive field first aid kit during occupation.,---,---,
Australia,Trajer Ridge Refuge,,Refuge,Open,Year-Round,Trajer Ridge,-68.560833,78.5,,3,Accommodates 3 people (Melon hut)  is equipped with a radio  food  fuel and cooking facilities and has a list of instructions peculiar to the hut's fittings and contents.         Trajer Ridge hut is about 24 kms from Davis Station and is at least a 12 hour walk from Davis or 1.5 - 2 hour quad trip. Under normal conditions  no point in the Vestfold Hills is further than 3 hours travel by vehicle from a refuge or the station.        Established 1988. Used as a emergency refuge and due to be replaced.        ,,,Comprehensive first aid kit.,---,---,
Australia,Watts Lake Refuge,,Refuge,Open,Year-Round,Watts Lake,-68.603333,78.219444,,4,Accommodates 4 people  is equipped with a radio  food  fuel and cooking facilities and has a list of instructions peculiar to the hut's fittings and contents.        Watt's Lake Hut is located at the eastern end of Ellis Fjord  a 3 hour walk from Davis. Under normal conditions  no point in the Vestfold Hills is further than 3 hours travel by vehicle from a refuge or the station.        Used in summer by field personnel in support of biological programs in the Fjord and nearby lakes  and for recreation.,,,Comprehensive first aid kit.,---,---,
Australia,Wilkes 'Hilton' Refuge,,Refuge,Open,Year-Round,Wilkes,-66.257222,110.525555,,6,It is a decommissioned Wilkes transmitter building. It accommodates six in bunks  with space for an additional four  equipped with a radio  food  fuel and cooking facilities and has a list of instructions peculiar to its fittings and contents.        Wilkes Refuge is located in the old transmitter hut within the Wilkes station complex  on the Clark Peninsula approximately 3 km due north of Casey station. Any form of vehicle may be used to reach Wilkes via the caned overland route (7 km). The route is subject to heavy melting and wash-aways during the summer months and may then be impassable to vehicles. Access to Wilkes by quad  foot or ski in winter requires good sea ice if you intend to cross Newcomb Bay.        Established 1962. Used throughout the year to support field personnel  and for recreation.        ,,,Comprehensive first aid kit,---,---,
Australia,Edgeworth David,Edgeworth David Camp,Camp,Open,Seasonal,Edgeworth David,-66.249935,100.604213,8,,Approximately 440 km west of Casey and 85 km inland from the Shackleton Ice Shelf in the Bunger Hills region  Wilkes Land. Winds are generally easterly and can be particularly strong on the eastern side of the hills. The Denman and Scott Glaciers both generate strong katabatic winds due to the sharpness of their final descent to the coastal shelf ice. Permanent sea ice exists in many areas. However  the ice in tidal passages in the Thomas and Charnockite Island areas and in the north near the Highjump Archipelago are particularly liable to break up in late January and February. An area of permanent sea ice  4000 m long and 2 m thick  suitable as a runway for large aircraft  can be found on the western side of the Bunger Hills beside Edgeworth David. A glacier blue ice runway area is located to the south at Grace Rocks on the Apfel Glacier.        Established 1986.,1986,The base consists of two Apple huts and two Melon huts and can accommodate 6-8 people.,Comprehensive field medical kit available during summer occupation for emergency use.,November,February,
Australia,Wilkins Aerodrome,Wilkins Aerodrome,Airfield Camp,Open,Seasonal,Wilkins Aerodrome,-66.689167,111.483056,8,,Camp position will be within 2000m of this point.        established Jan 2003        Upper Peterson Glacier  Wilkes Land. The camp (and Wilkins runway) is located on an ablation zone  65km SE of Casey Station.        Plant: dozers D7R & D7H  motor grader 14H  snow blowers x2  tracked tractors MT865B & 65B  loader 966G.        Vehicles: Hagglunds BV-206  Skidoo  4x4 utility.        Wilkins Runways is Secondary Air Information Station (SAIS).        Callsign: 'Wilkins Runway'         International Marine VHF:        Ch 10- aircraft operations         Ch 8- aircraft alternate and camp operations        HF  Airband VHF and Iridium available.        Note: Casey Station  call sign 'VNJ Casey'  is the Primary Air Information Station (PAIS) and monitors Airband 129.7 Mhz and 121.1 Mhz during periods of operation.,2003,Sled based field camp to support runway operations through summer. Camp is closed and positioned onto a raised snow berm over winter.        Summer:        Permanent accommodation is for six runway staff and two additional beds for transit personnel. Emergency accommodation is available for up to 40 (tent style).        Consumables  including fuel  are resupplied from Casey Station approximately each seven days during summer.        Facilities include: light engineering  power generation (240V  50hz)  messing a,Comprehensive field medical kit on site during summer occupation. Staff members are trained in first aid and crash rescue operations. A doctor is located at Casey.,October,March,
Belarus,Mountain Evening,Mountain Vechernyaya,Station,Open,Seasonal,Mountain Evening,-67.658333,46.153333,15,,FACILITIES INFRASTRUCTURE    Area under roof (m2) 280    Area scientifi laboratories (m2) 50    Type of scientifi laboratories: Biology  Meteorological  Physics of the atmosphere. Planned - geophysical observatory.    Conference room (capacity) 10    Logistic area (m2) 15000    Number of beds 15    Showers Yes    Laundry facilities Yes    Power supply type Fossil fuel     Renewable - Solar power engineering of 5 kW    Power supply (V) 200    Power supply (hours per day) 24    Hydroponics facilities Yes    Number of staff on station (peak/summer season) 15    Number of scientists on station (peak/summer season) 8    Number of staff on station (off peak/winter season) 12    Number of scientists on station    (off peak/winter season) 5    Max number of personnel at a time    (staff  scientists and others)    15    Specifi device/Scientifi equipment: Multi-wave length scanning    polarization sun/sky radiometer CE-318N  Spectral albedometer    AS-A  Multi-wave length polarization Raman LIDAR  Filter ozonometer    M124-M designed to measure TOA in the atmosphere employing    “direct sun” (DS) and “zenith” (Z)    Scientifi services possible: Columnar optical parameters of    atmospheric aerosol. Data are presented in AERONET database.    Spectra of diffuse reflction coeffiient (albedo). Profies of the optical    and microstructure parameters of aerosol and cloud particles.    Long-term monitoring/observations: Start of observations: radiometer     since December  2008  albedometer  since December 2011     LIDAR  since December  2012. Filter ozonometer M124-M from    2006/2007. Multi-functional UV Spectroradiometer PION-UV-II from    2007/2008. Autonomous remote system PION-FN from 2015/2016.    Semiconductor gas sensor. PION-SO 2007/2008  2015/2016. Image    spectrograph MARS-B 2013/2014.    MEDICAL FACILITIES Yes    Area of medical facility (m2) 22    Staff with basic medical training or doctor (Summer) 1    Staff with basic medical training or doctor (Winter) planned 2    Capability: Basic  Surgery    Equipment:surgical  physiotherapeutic and diagnostic equipment  Anaesthesia  Diagnostic X-ray  Microbiology    Distance to hospital (km)    Closest emergency facility in Antarctica (km) 1400    Closest emergency facility external (km) 8000    Medical research capabilities Yes    Medical screening requirements Yes    VEHICLES AT FACILITY    Sea transportation:    Land transportation: Three snowmobiles  one snow truck  one truck    WORKSHOP FACILITIES    Metal workshop  Wood workshop    COMMUNICATIONS    Computer  E-mail  Fax  Printer  Satellite phone and TV  Scanner    TRANSPORT AND FREIGHT    Access Air  Sea    Transport to facility: 4WD  Airplane  Helicopter  Ship  Skidoo  Truck    Number of airstrips    Length (m) of longest runway 1500 m    Width (m) of longest runway 50 m    Number of flght visits per year 4    Period of flght visits per year: January  February  November  December    Helipad Yes    Number of ship visits per year 2    Period of ship visits per year: January  February  March  April     November  December    Ship landing facilities: None,2006,The first stage of the Belarusian Research Antarctic Station in 2015 – 2020 included the following sites:    - three-section control  communication and navigation module comprising: service-residential section  control  communication and navigation section  and laboratory-residential section     - eight-section office-residential module consisting of: surgical section  two residential sections  two laboratory-residential sections  technological section and two sections for domestic and sanitary purp,The station has a medical outpatient for first aid. The seasonal expeditions include one surgeon. From December 2020  a stationary medical module equipped with all necessary medical equipment will be deployed at the Belarusian Antarctic station. It is planned to include two doctors in the wintering Belarusian Antarctic expeditions from 2021: an anesthesiologist and a surgeon.         Anaesthesia   Diagnostic X-Ray   Microbiology   One Doctor  CoV-2 Test  Covid 19 personal protective equipment accord,November,April,https://www.comnap.aq/Members/Shared%20Documents/COMNAP_Antarctic_Station_Catalogue.pdf
Belgium,Princess Elisabeth Antarctica,Princess Elisabeth Antarctica,Station,Open,Seasonal,Princess Elisabeth Antarctica,-71.949858,23.346891,55,48,The station is a zero-emissions facility and  thanks to its satellite ground-station   is functioning on a yearly basis for all scientific observations and data transmissions. The remote monitoring of the station allows autonomous operation during the antarctic winter. PEA doesn't require human presence during the winter to guarantee yearly operation.,2008,Princess Elisabeth is constructed as a compact station. The main building - designed with a surface area (living  technical  research  storage) of 900 m² - is located above ground-level and anchored onto snow-free rock area. A garage and storage building is constructed under the snow in the lee side of the ridge. A new South annex had been built. Available berths    In Station 16 beds  South Annex 32 beds  Mobile Units 10 beds  Tented accommodation 10 beds. Occupancy Max occupancy on site: 55    Dai,Telemedicine   Oxygen available  No COVID testing capabilities  No ventilators  Six isolation units available outside of the station  One isolation hospital facility available inside the station technical facilities not connected to station ventilation   Limited diagnostic facilities and surgical facilities  Monitoring for anaesthesia  Emergency equipment (defibrillators and CPR)  Resident physician during summer season,November,February,www.belspo.be/antar - www.antarcticstation.org
Brazil,Comandante Ferraz,Estacao Antartica Comandante Ferraz ,Station,Open,Year-Round,Comandante Ferraz,-62.085472,-58.398722,64,64,The new facilities of Comandante Ferraz were officially opened in January 2020.,1984,17 laboratories  32 residential cabins  service areas  gym  social and dining areas  library  living room  auditorium and video/meeting rooms   maintenance areas  garages  storerooms.,Doctor and nurse  available all year long    Medical equipment:   ventilators   O2 supply   pharmacy and medical treatment room   cardioversion and defibrillation device   Personal Protective Equipment   COVID testing capability.    ,October,December,https://www.marinha.mil.br/secirm/pt-br/proantar/nova-estacao
Brazil,Criosfera 1,Criosfera 1,Station,Open,Seasonal,Criosfera 1,-84,-79.5,,,,0,,,---,---,
Brazil,Cruls,Astrônomo Cruls,Refuge,Open,Seasonal,Cruls,-62.25,-58.975,6,,,1985,,,October,December,
Brazil,Engenheiro Wiltgen,Engenheiro Wiltgen,Refuge,Permanently Closed,Seasonal,Engenheiro Wiltgen,-61.218667,-55.37,,,,0,,,---,---,
Brazil,Goeldi,Emilio Goeldi,Refuge,Open,Seasonal,Goeldi,-61.133333,-55.35,,,,1989,,,---,---,
Bulgaria,St. Kliment Ohridski,St. Kliment Ohridski Base,Station,Open,Seasonal,St. Kliment Ohridski,-62.640723,-60.365233,25,,,1988,Two sleeping quarters  a bathroom  a scientific laboratory  a recreation area and a kitchen. In 2011 two houses were built with medical cabinet and 2 scientific laboratories (geological and biological).,Medical care provided by Bulgarian physician ,December,March,http://www.bai-bg.net/bulgarian-base.html
Chile,Arturo Prat Antarctic Naval Base,Base Naval Antártica Arturo Prat,Station,Open,Year-Round,Arturo Prat Antarctic Naval Base,-62.478717,-59.663603,35,,- La Base fue inaugurada el 6 de febrero de 1947  durante la expedición comandada por el Comodoro Federico Guesalaga Toro.     - Cuenta con una dotación permanente durante el año de 9 personas. Durante el verano  de noviembre a marzo  se ve aumentada su dotación con una Brigada de Reparaciones  que fluctúa entre las 19 a 27 personas y que es la que realiza los trabajos de reparación y de mantenimiento para preparar la Base para la época invernal.    - En conjunto con la Base Prat funciona en el lugar la Estación Marítima de Bahía Chile.,1947,- Adicionalmente es posible albergar a 15 personas en condiciones de emergencia.    - 2 helipuertos. Una losa de 144 m2  y una plataforma de madera de 25 m2 y a 1 5 mts. de altura para recepción de aeronaves en toda época del año  en especial invierno.    - 1 Muelle para embarcaciones menores.    - 1 Cargador Frontal y 2 cuadrimotos con adaptación orugas para nieve., 1 Enfermero Naval (preparado además para enfrentar urgencias odontológicas menores)  Enfermería equipada para cirugías menores  Capacidad de 3 camas. .,---,---,
Chile,Bahía Fildes Maritime Station,Estación Marítima Bahía Fildes,Station,Open,Year-Round,Bahía Fildes Maritime Station,-62.183333,-58.916667,8,, Inaugurada el 5 de enero de 1987  Dotación permanente de invierno 8 personas  Estación de apoyo a la actividad marítima en el sector de la Península Antártica.,1987,- Posee embarcaciones menores (1 Bote  goma Zodiak Mk -IV y    1 Bote  goma Zodiak Mk - V).    - Vehículo terrestre    - Teléfonía fija y móvil. Internet    - Capacidades en HF  VHF (marítimo y aéreo)  canal 16 marítimo.    - Envases metálico tipo contenedor de 20”    - 200 Metros de barrera de bahía  Mk – Alpina  modelo 15 EX    - 02 Bridas para remolque de barreras  Mk –Alpina    - Paños absorbentes  Spillsorb tipo S    - 30 Rollos de paños absorbentes Spillsorb tipo R -50,No posee,October,December,
Chile,Carvajal,Lieutenant Luis Carvajal Villarroel (SCTJ),Station,Temporarily Closed,Seasonal,Carvajal,-67.75,-68.9,32,,- Inaugurada en 1985. Actualmente la Base se encuentra cerrada sin operaciones aéreas por exceso de grietas en glacial donde operan aeronaves Twin Otter. Ultima activación se realizó en el año 2003     - Su nombre le fue otorgado mediante Ley N°18.411 de 26 de abril de 1985.,1985,- Pista tipo Skyway a 5 Km. de la Base y a una altura de 300 mts sobre el nivel del mar. Apta para aviones Twin Otter DHC-6 con Ski hidraúlica rebatible.     - Actualmente se encuentra fuera de servicio por la aparición de grietas contundentes en el glaciar Fuchs.,Puede dar apoyo de vida a 45 personas.,October,March,No tiene
Chile,Dr. Guillermo Mann,Base Dr. Guillermo Mann,Station,Open,Seasonal,Dr. Guillermo Mann,-62.47015,-60.771178,6,6,The station opened in November 1991. It is named in honour of Dr Guillermo Mann  zoologist who participated in the first official Chilean Expedition to Antarctica in 1947. - Main research developed by Chilean scientists includes Antarctic fur seal and penguin’s ecology  ancient seal hunter archaeological research  environment  geological  and glaciological studies. - The station is located at Cape Shirreff  Antarctic Specially Protected Area (ASPA) No. 149  in the site  the HMS No. 59 is also located. - Cape Shirreff is still the main Antarctic fur seals (Arctocephalus gazella) colony in the South Shetland Islands. There are also big colonies of Gentoo and Antarctic penguins in the area  indicating an important marine productivity in the neighbouring seas.,1991,- Buildings: 1 thermopanels module  1 fiberglass igloo type module  and 1 fiberglass multi-uses module.    - Communications: VHF systems (channel 16) and UHF  and satellite phone.,No medical facilities available. However  the scientific team arrives to the area with a first aids kit.,November,February,http://www.inach.cl/inach/?page_id=12694
Chile,Estación Marítima Bahía Paraíso,,Station,Open,Seasonal,Gabriel González Videla,-64.823862,-62.857499,4,,Como Estación Marítima inaugurada el 03 de diciembre de 1995. Dotación de la Armada en verano 4 personas. Estación de apoyo a la actividad marítima en el sector de Bahía Paraíso.,,Funciona en la Base Gabriel González Videla,Las disponibles en la Base Gabirel Gonzales Videla,November,April,
Chile,Gabriel González Videla,Base Antártica Presidente Gabriel González Videla,Station,Open,Seasonal,Gabriel González Videla,-64.823862,-62.857499,15,,- Inaugurada en marzo de 1951.     - Las instalaciones han sido reacondicionadas y se presentan como Base Histórica de la  Primera Base Antártica de la Fuerza Aérea de Chile  que con una sala fotográfica muestra una secuencia histórica desde su fundación.     - Asimismo  las actividades están reguladas a través de un Plan de Manejo Ambiental desde el año 2003.    - En el lugar funciona además la Capitanía de Puerto de Bahía Paraíso  la cual opera entre los meses de noviembre y abril con una dotación de 4 personas. Entre sus funciones está la de coordinar las actividades de la Patrulla Naval Antártica Combinada. Posee algunas embarcaciones menores y elementos de contingencia para controlar derrames de hidrocarburos.     - Tiene capacidades de telefonía fija y comunicaciones HF  VHF (marítimo y aéreo)  canal 16 marítimo.    ,1951,- Inaugurada en marzo de 1951.     - Las instalaciones han sido reacondicionadas y se presentan como Base Histórica de la  Primera Base Antártica de la Fuerza Aérea de Chile  que con una sala fotográfica que muestra una secuencia histórica desde su fundación  asimismo  las actividades están reguladas a través de un Plan de Manejo Ambiental desde el año 2003.    ,- La Base cuenta con 1 paramédico y sus instalaciones permiten alojar a 15 personas y dar apoyo de vida a 23.,November,March,
Chile,Lieutenant Arturo Parodi,Teniente Arturo Parodi Base,Station,No Longer Exists,Seasonal,Lieutenant Arturo Parodi,-80.311933,-81.366573,,,,1999,,,---,---,
Chile,O'Higgins Base,General Bernardo O'Higgins Riquelme,Station,Open,Year-Round,O'Higgins Base,-63.320951,-57.899781,60,,- La Base fue remodelada y reinaugurada el 04 de Marzo del 2003  conforme a normas establecidas en el Protocolo de Madrid.    -Funciona además en el lugar la Estación Marítima Rada Covadonga.,1948,Cuenta con instalaciones modernas que permiten una buena habitabilidad  un laboratorio con tecnología para materializar trabajos y análisis por parte de científicos que desarrollen sus actividades en torno a la Base  en las áreas de investigación de glaciología  geología y biología marina. Posee una biblioteca y un gimnasio.     Máximo de 60 personas en verano y 30 en invierno.    Su acceso es por medio aéreo y marítimo. Servicios de internet  telefonía red fija  teléfonosatelital y televisión.,- 2 enfermeros  con Telemedicina conectada  a través de la Web  con Urgencias del Hospital Militar de Santiago.,---,---,
Chile,President Eduardo Frei Antarctic Base,Base Aérea Antártica Presidente Eduardo Frei Montalva,Station,Open,Year-Round,President Eduardo Frei Antarctic Base,-62.200232,-58.962627,150,,-  Comunicaciones: dispone de radio VHF – UHF   telefonía red fija internet y celular proporcionada por ENTEL PCS.    - Transporte: dispone de vehículos de terrestres de invierno y verano.    - email: basefrei@fach.cl    ,1969,El Complejo Base Pdte. Frei está conformado por:    - Villa Las Estrellas  construida en 1984  cuenta con  escuela básica capilla  banco  oficina de correo postal  suvenires  supermercado  gimnasio  medicina de emergencia.    - Aeródromo Teniente Rodolfo Marsh: posee pista de gravilla compactada de aterrizaje de 1.292 mts. de largo por 39 mts. de ancho  orientada al 110°/292°  a 48 mts. sobre el nivel del mar  y una infraestructura compuesta por baliza y hangar.    ,- La Base cuenta con 1 médico cirujano y 1 paramédico  además de equipos de cirugía médica y dental.        - Posee capacidad para evacuaciones aeromédicas entre bases del sector y/o hacia la ciudad de Punta Arenas.         - Sus instalaciones permiten alojar a 140 personas y dar apoyo de vida a 140.    ,---,---,
Chile,Profesor Julio Escudero,Profesor Julio Escudero Base,Station,Open,Seasonal,Profesor Julio Escudero,-62.201373,-58.962676,60,60,Main operation centre of the Chilean Antarctic Science Program. The station also supports activities of other National Antarctic Programs -as required-  working in the Fildes Peninsula region. Currently  the facility has the capacity to accommodate sixty people  a multipurpose laboratory  a laboratory of microbiology and basic molecular biology  a wet lab  aquariums area  cold storage rooms and a divers working zone. Communications: E-mail: escudero@inach.cl Phone: +56 2 28820214 / +56 2 28820229 / +56 9 97198592 VHF: channel 16,1995,It supports scientific projects in the areas of marine biology  terrestrial biology  microbiology  glaciology  geology  paleontology  atmospheric and environmental studies. It has multidisciplinary laboratories and a controlled environment laboratory (-10º to 0º C). It has a paleontological exhibition. It has winter (Skidoo) and summer land vehicles (ATV ATVs and 1 all-terrain vehicle) and maritime vessels: rubber boats and 1 bay boat. Besides  is the base port of the RS Karpuj.,No medical facilities available.,October,April,http://www.inach.cl/inach/?page_id=12684
Chile,Rada Covadonga,Rada Covadonga,Station,Open,Seasonal,O'Higgins Base,-63.320951,-57.899781,1,,Dotación de 1 persona en verano. Estación de apoyo a la actividad marítima en el sector de la Península Antártica.,0,Funciona en la Base Bernardo O´Higgins,Las disponibles en la Base Bernardo O´Higgins,---,---,
Chile,Risopatrón,Luis Risopatrón,Station,Open,Seasonal,Risopatrón,-62.378533,-59.700724,8,8,It is located near ASPA No. 112  in whose area a relevant terrestrial ecosystem is protected  with the presence of important colonies of Antarctic flora and fauna. Its main value is in the vegetation  characterized by an extensive folder of mosses  together with species of liverworts  lichens and algae.,1949,Laboratorio multipropósito.    Karpuj between bases.    Communications HF and VHF radios.    Satellite telephony.,The Risopatron Station does not have medical facilities.,December,February,https://www.inach.cl/inach/?page_id=12700
Chile,Yelcho,Base Yelcho,Station,Open,Seasonal,Yelcho,-64.875858,-63.583806,28,28,The main scientific contribution of the Yelcho Base is in the development of marine biology  and everything that has to do with ecosystems of this type  due to its proximity to populations of vegetation and underwater fauna.    ,1962,#NAME?,No medical facilities available.,December,March,https://www.inach.cl/inach/?page_id=12698
Chile,11 de septiembre,,Refuge,Open,Year-Round,Canal Príncipe Gustavo,-63.605278,-57.591944,,5, - Refugio activo de emergencia  es alternativa a refugio Jorge Boonen Rivera.     - Fue inaugurado en septiembre de 2002 y posee una infraestructura de madera.,,,#NAME?,---,---,
Chile,Abrazo de Maipú,,Refuge,Open,Year-Round,Paso Mackenna; península Antártica; Tierra de O´Higgins,-63.383333,-57.566666,,8, - Inaugurado en septiembre del año 2004.     - Desde el año 2010 se encuentra inhabilitado debido a la evidente configuración de grietas en su sector de acceso. Refugio “No Operacional”.        ,,,#NAME?,---,---,
Chile,General Jorge Boonen Rivera (Ex- Gral. Ramón Cañas Montalva),,Refuge,Open,Year-Round,Bahía Duse; península View Point; Tierra de O´Higgins,-63.5375,-57.404167,,8,- Inaugurada en septiembre de 1997.     - Opera preferentemente en los meses de invierno (agosto-septiembre).    - Cuenta con una casa principal y una sala de motores  baño y bodega de combustible y lubricantes  ambas de estructura de madera  se realizó mantenimiento en el verano del 2011.,,,#NAME?,---,---,
Chile,Julio Ripamonti,,Refuge,Open,Year-Round,Península Ardley (isla Ardley); isla Rey Jorge (isla 25 de mayo);archipiélago islas Shetland del Sur,-62.210833,-58.885277,4,2,- Península Ardley (isla Ardley) corresponde a la ZAEP Nº 150  por lo que el ingreso a dicha zona requiere de un permiso y la aplicación del Plan de Gestión Vigente.    - Se realizan actividades científicas de acuerdo a los requerimientos de los proyectos  principalmente en el área biológica.     - Se utiliza como refugio de emergencia para los investigadores que requieren tomar muestras o datos en dicha zona.    - Cuenta con equipo de comunicaciones VHF  canal 16.    - La energía eléctrica se obtiene por paneles solares.,1982,#NAME?,#NAME?,October,February,No tiene
Chile,Refugio Collins,Refugio Collins,Refuge,Open,Seasonal,Bahía Collins,-62.166666,-58.85,2,2,located in a sector of interest to develop research activities mainly on Deschampsia antarctica    It is implemented with VHF communications equipment (channel 16)    Recommended only to stay overnight for short periods of time.,2007,A multipurpose lab module is available,The Refuge has no medical facilities,November,March,https://www.inach.cl/inach/?page_id=13080
Chile,Ripamonti,Ripamonti,Refuge,Open,Seasonal,Ripamonti,-62.210151,-58.93474,2,2,Since the refuge is located in a protected area  its access requires a special permit. In addition  the access of any type of vehicle is prohibited. The logistical support is delivered from the Escudero Base  by sea.,,Scientific implements are not available  but it is authorized to collect samples.,The refuge has no medical facilities,November,March,https://www.inach.cl/inach/?page_id=12702
Chile,Estacion Polar Cientifica Conjunta Glaciar Union,Estacion Polar Cientifica Conjunta Glaciar Union,Camp,Open,Seasonal,Estacion Polar Cientifica Conjunta Glaciar Union,-79.766667,-82.916667,,,,,,,---,---,
Chile,Lieutenant Rodolfo Marsh Martin Aerodrome,Aerodromo Teniente Rodolfo Marsh Martin,Airfield Camp,Open,Year-Round,Lieutenant Rodolfo Marsh Martin Aerodrome,-62.193794,-58.980605,,,,1980,,,---,---,
China,Great Wall,Great Wall Station,Station,Open,Year-Round,Great Wall,-62.217519,-58.961992,60,,The Chinese Great Wall Station  located in King George Island  west Antarctic. At the moment there are 12 buildings  and the total area of Great Wall Station amounts to 4200 square meters. The station can accommodate 60 research personnel in summer and 20 research personnel in winter. Science disciplines carried out at the Station mainly include Biology  Ecology  Meteorology  Geology  Geochemistry  Environment and Ocean Sciences. According to statistics of the observed data from 1985 to 2000  Great Wall Station mean temperatures range from 1.9°C in January and February to -6.3°C in July  with the maximum of 11.7°C and the minimum of -26.6°C. The multi-yearly averaged wind speed of Great Wall Station is 7.2 m/s  the most frequent wind direction is WNW(18%) and the maximum wind speed is 40.3m/s. ,1985,60  personnel in summer and 20  personnel in winter,Doctor and surgery available,October,December,http://www.chinare.gov.cn
China,Kunlun,Kunlun Station ,Station,Open,Seasonal,Kunlun,-80.41719,77.115997,24,,The Chinese Kunlun Station is the first Chinese inland station  located in the  Dome A area. The altitude is 4087 meters. The total area is 556 square meters. The station can accommodate 20-24 research personnel in summer. The science disciplines carried out at the station include Glaciology  Geophysics  Astronomy and so on. ,2009,20-24 research  in summer,General emergency medical care equipment,December,January,
China,Zhongshan,Zhongshan Station,Station,Open,Year-Round,Zhongshan,-69.373206,76.371871,80,,The Chinese Zhongshan Station  located at Larsemann Hills  was erected on the 26th February  1989. At the moment there are 15 buildings  and the total area amounts to 2700 square meters. The station can accommodate 80 research personnel in summer and 25 research personnel in winter. The science disciplines carried out at the station include Upper Atmosphere Physics (UAP)  Meteorology  Glaciology  Oceanography  Geology  Geochemistry(Meteorite)  Geography and Environmental Science  and so forth.Compared with Great Wall Station  the climate in Zhongshan Station is more continental. The mean temperatures there range from -0.2°C in January to -15.9°C in September  with the maximum of 9.6°C and the minimum of -45.7°C. The multi-yearly averaged wind speed of Zhongshan Station is 7.0 m/s  with the most frequent wind direction of E(27%) and the maximum wind speed of 46.2m/s. Katabatic winds regularly occur at Zhongshan Station.,1989, 80  personnel in summer and 25  personnel in winter,Doctor and surgery available,---,---,http://www.chinare.gov.cn
China,Taishan,Taishan,Camp,Open,Seasonal,Taishan,-73.863611,76.941389,,,The Chinese Taishan Summer Camp is announced to open on February 8  2014 by the State Oceanic Administration (SOA)  People’s Republic of China. It is located at the site with travelling distance of 522 km far from the Zhongshan Station  715 km from the Kunlun Station  and 85 km from the Grove Mountains. The altitude there is 2620m. The annual average temperature is -35.44℃ and the annual average wind speed is 5.5 m/s. The main purpose of the camp is to provide relay support of logistics for the investigation of the Kunlun Station and Grove Mountains  to provide emergency rescue protection for inland research activities in east Antarctica  and to support local observation of glaciology  meteorology  geophysics and aviation remote sensing in the east Antarctic ice sheet. The camp construction area takes up about 300 m2 at present time. With the logistical support provided mainly by inland fleet vehicles  the summer camp can supply up to 5 people for 60 days’ accommodation and work  and another 25 people for an average of 4 days’ accommodation per capita during the summer season. The design service life of the camp is 10 years.,2014,,not applied at present time,---,---,
Czechia,CZ*ECO Nelson,CZ*ECO Nelson,Station,Open,Seasonal,CZ*ECO Nelson,-62.25,-58.983333,12,0,At the present state  all current structures of the (originally Eco Nelson Base) station are to be renewed/rebuilt for scientific purposes  operated by the Czech National Antarctic Programme (Masaryk University) since the season 2018-19. New name of this station/refugee is intended to be given since the season 2019-20  respectively when the reconstruction of the refuge is done.,0,Currently no long-term stay is possible  structures need to be renewed.,First aid and basic care only.,November,March,https://carp.sci.muni.cz/contact/
Czechia,Johann Gregor Mendel,Ceská vedecká stanice Johanna Gregora Mendela,Station,Open,Seasonal,Johann Gregor Mendel,-63.800556,-57.8825,20,,,2006,,Medical care maintained by Czech physician  Argentinian Marambio Station (Seymour Island) in case of emergencies.,December,March,http://polar.sci.muni.cz/en/
