站点名称,更新周数,更新时间,起始时间,结束时间,温度(℃),湿度(%),气压(mb),风向,风速(m/s),周温差(℃),周最低温(℃),周报URL
新奥尔松,2024年第05周,2024-02-03 17:20:00,2024-01-27,2024-02-02,-6.9,85.0,972.0,东南,0.9,15.2,-15.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136888
泰山站,2024年第05周,2024-02-03 16:38:00,2024-01-27,2024-02-02,-18.7,74.0,703.0,东北,6.5,12.7,-28.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136888
昆仑站,2024年第05周,2024-02-03 15:03:00,2024-01-27,2024-02-02,-37.9,61.0,578.0,东南,1.8,20.2,-48.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136888
新奥尔松,2024年第04周,2024-01-27 17:50:00,2024-01-20,2024-01-26,-0.7,69.0,993.4,东,5.9,23.5,-18.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136870
长城站,2024年第04周,2024-01-27 17:45:00,2024-01-20,2024-01-26,0.0,99.0,974.8,东,7.7,4.4,-1.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136870
昆仑站,2024年第04周,2024-01-27 16:04:00,2024-01-20,2024-01-26,-32.6,66.0,589.0,西北,3.8,12.0,-44.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136870
泰山站,2024年第04周,2024-01-27 15:59:00,2024-01-20,2024-01-26,-20.9,70.0,714.0,东南,10.1,10.6,-27.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136870
中山站,2024年第04周,2024-01-27 14:27:00,2024-01-20,2024-01-26,1.5,51.0,985.5,东,12.1,2.0,-2.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136870
新奥尔松,2024年第03周,2024-01-20 17:50:00,2024-01-13,2024-01-19,-15.6,57.0,996.2,西南,1.6,13.2,-20.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136853
中山站,2024年第03周,2024-01-19 09:32:00,2024-01-12,2024-01-18,-1.3,87.0,991.0,东北,4.4,7.9,-2.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136853
中山站,2024年第02周,2024-01-13 17:32:00,2024-01-06,2024-01-12,4.8,49.0,970.3,东南,3.4,9.7,-4.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136849
新奥尔松,2024年第02周,2024-01-13 15:50:00,2024-01-06,2024-01-12,-15.7,44.0,1012.9,东北,5.1,12.0,-19.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136849
新奥尔松,2024年第01周,2024-01-06 17:50:00,2023-12-30,2024-01-05,-16.3,81.0,1012.2,东南,6.4,21.6,-21.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136808
长城站,2024年第01周,2024-01-04 23:45:00,2023-12-28,2024-01-03,2.4,90.0,980.1,西,8.8,5.0,-0.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136808
中山站,2024年第01周,2024-01-04 23:37:00,2023-12-28,2024-01-03,0.9,70.0,967.0,西,4.1,0.5,-2.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136808
泰山站,2024年第01周,2024-01-02 11:56:00,2023-12-26,2024-01-01,-24.0,67.0,700.0,东,10.2,7.5,-28.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136808
昆仑站,2024年第01周,2024-01-02 06:58:00,2023-12-26,2024-01-01,-38.5,62.0,576.0,东,2.3,6.4,-39.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136808
长城站,2023年第51周,2023-12-23 17:50:00,2023-12-16,2023-12-22,0.4,86.0,981.6,东南,7.5,5.0,-0.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136752
新奥尔松,2023年第51周,2023-12-23 17:50:00,2023-12-16,2023-12-22,-17.4,73.0,1013.0,西南,2.4,20.6,-20.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136752
泰山站,2023年第51周,2023-12-23 15:59:00,2023-12-16,2023-12-22,-20.5,64.0,698.0,东,5.1,16.1,-34.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136752
昆仑站,2023年第51周,2023-12-23 15:52:00,2023-12-16,2023-12-22,-33.2,65.0,573.0,东南,6.2,9.3,-38.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136752
中山站,2023年第51周,2023-12-23 13:52:00,2023-12-16,2023-12-22,2.3,39.0,979.5,北,1.6,9.6,-4.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136752
新奥尔松,2023年第50周,2023-12-16 17:50:00,2023-12-09,2023-12-15,-1.0,68.0,989.6,东南,7.9,13.6,-10.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136729
长城站,2023年第50周,2023-12-16 17:44:00,2023-12-09,2023-12-15,0.3,99.0,985.0,东南,6.1,8.6,-0.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136729
中山站,2023年第50周,2023-12-16 17:42:00,2023-12-09,2023-12-15,-1.0,70.0,986.3,东北,3.0,12.4,-8.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136729
昆仑站,2023年第50周,2023-12-16 16:12:00,2023-12-09,2023-12-15,-29.7,71.0,579.0,南,4.5,11.8,-39.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136729
泰山站,2023年第50周,2023-12-16 16:11:00,2023-12-09,2023-12-15,-20.1,68.0,703.0,东北,6.8,11.7,-31.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136729
长城站,2023年第49周,2023-12-09 17:50:00,2023-12-02,2023-12-08,1.0,98.0,989.9,西,11.5,6.6,-2.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136689
新奥尔松,2023年第49周,2023-12-09 17:50:00,2023-12-02,2023-12-08,-3.1,96.0,1002.4,西,2.2,11.8,-10.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136689
中山站,2023年第49周,2023-12-09 17:12:00,2023-12-02,2023-12-08,1.7,45.0,977.2,西北,1.2,10.1,-3.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136689
泰山站,2023年第49周,2023-12-09 14:54:00,2023-12-02,2023-12-08,-23.1,56.0,700.0,东南,9.4,18.5,-30.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136689
昆仑站,2023年第49周,2023-12-09 14:49:00,2023-12-02,2023-12-08,-34.3,65.0,579.0,南,5.5,22.5,-45.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136689
新奥尔松,2023年第48周,2023-12-02 17:50:00,2023-11-25,2023-12-01,-6.2,65.0,1031.8,西,1.9,15.8,-11.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136666
长城站,2023年第48周,2023-12-02 17:48:00,2023-11-25,2023-12-01,-0.3,97.0,992.5,东,1.2,10.7,-5.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136666
中山站,2023年第48周,2023-12-02 17:48:00,2023-11-25,2023-12-01,4.3,40.0,985.3,东南,0.7,12.8,-6.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136666
泰山站,2023年第48周,2023-12-02 16:41:00,2023-11-25,2023-12-01,-19.3,66.0,711.0,东北,7.4,8.4,-27.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136666
昆仑站,2023年第48周,2023-12-02 16:37:00,2023-11-25,2023-12-01,-36.6,64.0,579.0,东北,3.5,15.0,-46.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136666
中山站,2023年第47周,2023-11-25 17:53:00,2023-11-18,2023-11-24,-0.8,59.0,969.6,东,8.5,11.4,-11.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136630
新奥尔松,2023年第47周,2023-11-25 17:50:00,2023-11-18,2023-11-24,-7.6,80.0,1013.2,东南,6.2,18.9,-15.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136630
长城站,2023年第47周,2023-11-25 17:40:00,2023-11-18,2023-11-24,-1.1,89.0,983.0,西北,3.2,6.1,-3.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136630
泰山站,2023年第47周,2023-11-25 15:41:00,2023-11-18,2023-11-24,-26.8,66.0,695.0,东,12.9,13.1,-38.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136630
昆仑站,2023年第47周,2023-11-25 13:55:00,2023-11-18,2023-11-24,-37.9,62.0,573.0,东南,2.5,29.6,-47.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136630
新奥尔松,2023年第46周,2023-11-18 17:50:00,2023-11-11,2023-11-17,-15.0,58.0,1013.9,东南,4.6,15.1,-18.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136609
长城站,2023年第46周,2023-11-18 17:40:00,2023-11-11,2023-11-17,-1.6,81.0,992.9,东,7.1,6.2,-3.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136609
中山站,2023年第46周,2023-11-18 17:38:00,2023-11-11,2023-11-17,-0.6,36.0,984.8,东南,0.8,12.0,-9.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136609
昆仑站,2023年第46周,2023-11-18 14:33:00,2023-11-11,2023-11-17,-36.1,63.0,576.0,南,6.2,22.1,-56.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136609
泰山站,2023年第46周,2023-11-18 14:27:00,2023-11-11,2023-11-17,-29.8,68.0,702.0,东,11.6,13.8,-37.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136609
长城站,2023年第45周,2023-11-11 17:50:00,2023-11-04,2023-11-10,-1.4,100.0,983.1,西北,7.3,4.7,-3.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136607
新奥尔松,2023年第45周,2023-11-11 17:50:00,2023-11-04,2023-11-10,-8.6,72.0,1015.5,东南,3.1,14.2,-16.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136607
中山站,2023年第45周,2023-11-11 17:33:00,2023-11-04,2023-11-10,-6.3,93.0,970.6,东北,10.5,10.6,-12.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136607
昆仑站,2023年第45周,2023-11-11 16:02:00,2023-11-04,2023-11-10,-50.4,55.0,565.0,东南,6.3,35.2,-57.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136607
泰山站,2023年第45周,2023-11-11 15:59:00,2023-11-04,2023-11-10,-25.2,77.0,694.0,东北,12.1,14.3,-39.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136607
长城站,2023年第45周,2023-11-11 17:50:00,2023-11-04,2023-11-10,-1.4,100.0,983.1,西北,7.3,4.7,-3.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136607
新奥尔松,2023年第45周,2023-11-11 17:50:00,2023-11-04,2023-11-10,-8.6,72.0,1015.5,东南,3.1,14.2,-16.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136607
中山站,2023年第45周,2023-11-11 17:33:00,2023-11-04,2023-11-10,-6.3,93.0,970.6,东北,10.5,10.6,-12.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136607
昆仑站,2023年第45周,2023-11-11 16:02:00,2023-11-04,2023-11-10,-50.4,55.0,565.0,东南,6.3,35.2,-57.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136607
泰山站,2023年第45周,2023-11-11 15:59:00,2023-11-04,2023-11-10,-25.2,77.0,694.0,东北,12.1,14.3,-39.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136607
新奥尔松,2023年第44周,2023-11-04 17:50:00,2023-10-28,2023-11-03,-8.5,64.0,1012.0,东南,7.7,14.2,-12.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136549
中山站,2023年第44周,2023-11-04 17:48:00,2023-10-28,2023-11-03,-4.4,47.0,975.7,东,6.7,11.5,-13.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136549
长城站,2023年第44周,2023-11-04 17:44:00,2023-10-28,2023-11-03,-0.2,97.0,989.0,西北,9.3,10.3,-9.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136549
泰山站,2023年第44周,2023-11-04 16:38:00,2023-10-28,2023-11-03,-28.9,62.0,699.0,东,11.1,14.6,-41.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136549
昆仑站,2023年第44周,2023-11-04 16:34:00,2023-10-28,2023-11-03,-37.9,60.0,570.0,西,2.0,31.7,-61.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136549
中山站,2023年第43周,2023-10-28 17:53:00,2023-10-21,2023-10-27,-3.2,50.0,984.6,东,3.9,16.3,-16.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136529
新奥尔松,2023年第43周,2023-10-28 17:50:00,2023-10-21,2023-10-27,-1.9,87.0,1010.7,东南,0.7,11.5,-10.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136529
长城站,2023年第43周,2023-10-28 17:30:00,2023-10-21,2023-10-27,-8.9,95.0,983.2,东,24.6,9.7,-8.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136529
泰山站,2023年第43周,2023-10-28 15:26:00,2023-10-21,2023-10-27,-27.3,63.0,707.0,东北,9.4,23.1,-47.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136529
昆仑站,2023年第43周,2023-10-28 15:16:00,2023-10-21,2023-10-27,-49.1,56.0,572.0,西北,2.0,30.1,-62.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136529
中山站,2023年第42周,2023-10-21 17:58:00,2023-10-14,2023-10-20,-10.6,35.0,993.8,东,0.0,13.2,-20.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136512
新奥尔松,2023年第42周,2023-10-21 17:50:00,2023-10-14,2023-10-20,-8.2,72.0,1017.6,西南,2.2,11.3,-8.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136512
长城站,2023年第42周,2023-10-21 17:45:00,2023-10-14,2023-10-20,-0.2,98.0,986.4,北,7.6,7.0,-7.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136512
泰山站,2023年第42周,2023-10-21 17:21:00,2023-10-14,2023-10-20,-37.1,63.0,700.0,东,10.9,11.7,-48.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136512
昆仑站,2023年第42周,2023-10-21 17:15:00,2023-10-14,2023-10-20,-44.9,56.0,569.0,南,2.8,22.0,-62.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136512
长城站,2023年第41周,2023-10-14 17:53:00,2023-10-07,2023-10-13,-6.3,73.0,981.7,西南,5.2,10.3,-9.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136508
新奥尔松,2023年第41周,2023-10-14 17:50:00,2023-10-07,2023-10-13,-4.0,65.0,1010.9,东南,6.9,9.4,-8.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136508
中山站,2023年第41周,2023-10-14 17:43:00,2023-10-07,2023-10-13,-11.7,37.0,992.8,北,0.0,15.8,-17.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136508
昆仑站,2023年第41周,2023-10-14 16:28:00,2023-10-07,2023-10-13,-49.8,55.0,571.0,南,5.6,39.8,-70.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136508
泰山站,2023年第41周,2023-10-14 14:27:00,2023-10-07,2023-10-13,-39.3,65.0,702.0,东,10.3,18.5,-49.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136508
中山站,2023年第40周,2023-10-07 17:53:00,2023-09-30,2023-10-06,-11.7,66.0,994.1,东,4.3,11.3,-21.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136486
长城站,2023年第40周,2023-10-07 17:50:00,2023-09-30,2023-10-06,-4.1,98.0,952.7,东,22.0,5.5,-4.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136486
新奥尔松,2023年第40周,2023-10-07 17:50:00,2023-09-30,2023-10-06,-3.3,60.0,1010.7,东南,3.1,5.1,-4.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136486
泰山站,2023年第40周,2023-10-07 14:51:00,2023-09-30,2023-10-06,-41.9,64.0,700.0,东北,8.5,13.2,-49.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136486
昆仑站,2023年第40周,2023-10-07 14:49:00,2023-09-30,2023-10-06,-53.8,54.0,564.0,东,1.7,31.4,-72.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136486
中山站,2023年第39周,2023-09-30 17:58:00,2023-09-23,2023-09-29,-13.5,31.0,986.0,东,0.8,11.9,-17.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136446
长城站,2023年第39周,2023-09-30 17:50:00,2023-09-23,2023-09-29,1.1,98.0,990.5,西北,12.8,11.2,-9.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136446
新奥尔松,2023年第39周,2023-09-30 17:20:00,2023-09-23,2023-09-29,-2.8,56.0,1006.5,北,2.6,11.8,-10.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136446
泰山站,2023年第39周,2023-09-30 16:45:00,2023-09-23,2023-09-29,-40.8,64.0,697.0,东,10.6,11.5,-46.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136446
昆仑站,2023年第39周,2023-09-30 15:00:00,2023-09-23,2023-09-29,-60.3,47.0,572.0,东南,0.0,25.3,-70.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136446
长城站,2023年第38周,2023-09-23 17:58:00,2023-09-16,2023-09-22,-7.0,93.0,976.7,东,8.3,13.5,-15.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136428
新奥尔松,2023年第38周,2023-09-23 17:50:00,2023-09-16,2023-09-22,-4.7,73.0,1010.8,西南,0.9,7.8,-10.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136428
中山站,2023年第38周,2023-09-23 17:43:00,2023-09-16,2023-09-22,-9.1,48.0,978.2,东,11.1,13.6,-15.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136428
昆仑站,2023年第38周,2023-09-23 15:41:00,2023-09-16,2023-09-22,-56.8,51.0,575.0,东南,2.5,30.7,-65.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136428
泰山站,2023年第38周,2023-09-23 12:17:00,2023-09-16,2023-09-22,-38.7,69.0,698.0,东,14.2,27.7,-47.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136428
中山站,2023年第37周,2023-09-16 17:53:00,2023-09-09,2023-09-15,-2.2,68.0,986.4,南,2.5,21.2,-21.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136409
长城站,2023年第37周,2023-09-16 17:50:00,2023-09-09,2023-09-15,-12.9,90.0,998.7,东,15.7,13.2,-13.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136409
新奥尔松,2023年第37周,2023-09-16 17:50:00,2023-09-09,2023-09-15,-3.1,82.0,1006.5,西,0.7,8.3,-5.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136409
泰山站,2023年第37周,2023-09-16 15:45:00,2023-09-09,2023-09-15,-24.9,74.0,715.0,东,14.3,31.7,-53.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136409
昆仑站,2023年第37周,2023-09-16 15:35:00,2023-09-09,2023-09-15,-34.6,67.0,584.0,北,8.6,42.7,-76.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136409
中山站,2023年第36周,2023-09-09 17:58:00,2023-09-02,2023-09-08,-18.6,48.0,1000.5,南,0.9,23.5,-32.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136387
新奥尔松,2023年第36周,2023-09-09 17:50:00,2023-09-02,2023-09-08,3.1,90.0,987.1,西北,6.3,8.1,0.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136387
长城站,2023年第36周,2023-09-09 17:45:00,2023-09-02,2023-09-08,-3.4,98.0,1009.0,西北,2.1,13.4,-14.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136387
泰山站,2023年第36周,2023-09-09 16:06:00,2023-09-02,2023-09-08,-49.4,60.0,703.0,东,10.6,13.9,-52.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136387
昆仑站,2023年第36周,2023-09-09 15:27:00,2023-09-02,2023-09-08,-69.8,40.0,574.0,东南,0.0,18.7,-77.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136387
新奥尔松,2023年第35周,2023-09-02 16:50:00,2023-08-26,2023-09-01,6.5,83.0,1016.3,东南,4.7,5.3,3.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136368
长城站,2023年第35周,2023-09-02 16:45:00,2023-08-26,2023-09-01,-10.6,92.0,990.7,东,14.3,11.1,-11.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136368
中山站,2023年第35周,2023-09-02 16:33:00,2023-08-26,2023-09-01,-23.5,42.0,993.8,东南,0.0,9.7,-28.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136368
昆仑站,2023年第35周,2023-09-02 14:43:00,2023-08-26,2023-09-01,-67.7,44.0,562.0,东,0.0,11.3,-72.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136368
泰山站,2023年第35周,2023-09-02 14:20:00,2023-08-26,2023-09-01,-46.9,62.0,693.0,东,13.5,8.3,-50.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136368
中山站,2023年第34周,2023-08-26 17:55:00,2023-08-19,2023-08-25,-20.5,56.0,991.0,东,1.0,10.4,-26.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136350
新奥尔松,2023年第34周,2023-08-26 17:50:00,2023-08-19,2023-08-25,8.6,83.0,1002.9,东北,0.7,6.9,2.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136350
长城站,2023年第34周,2023-08-26 17:39:00,2023-08-19,2023-08-25,-9.2,87.0,984.3,西南,7.8,11.2,-11.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136350
泰山站,2023年第34周,2023-08-26 14:39:00,2023-08-19,2023-08-25,-41.1,66.0,704.0,东南,17.8,17.7,-58.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136350
昆仑站,2023年第34周,2023-08-26 14:35:00,2023-08-19,2023-08-25,-67.8,43.0,580.0,东南,0.0,28.0,-78.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136350
中山站,2023年第33周,2023-08-19 17:59:00,2023-08-12,2023-08-18,-17.0,49.0,980.7,东,10.2,9.2,-22.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136347
长城站,2023年第33周,2023-08-19 17:50:00,2023-08-12,2023-08-18,-0.1,96.0,1008.6,西北,10.9,6.0,-7.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136347
新奥尔松,2023年第33周,2023-08-19 17:50:00,2023-08-12,2023-08-18,5.0,87.0,1025.5,北,1.5,6.7,3.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136347
昆仑站,2023年第33周,2023-08-19 15:16:00,2023-08-12,2023-08-18,-73.2,40.0,571.0,南,0.0,20.0,-77.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136347
泰山站,2023年第33周,2023-08-19 12:42:00,2023-08-12,2023-08-18,-46.4,64.0,696.0,东,11.2,11.5,-50.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136347
中山站,2023年第33周,2023-08-19 17:59:00,2023-08-12,2023-08-18,-17.0,49.0,980.7,东,10.2,9.2,-22.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136347
长城站,2023年第33周,2023-08-19 17:50:00,2023-08-12,2023-08-18,-0.1,96.0,1008.6,西北,10.9,6.0,-7.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136347
新奥尔松,2023年第33周,2023-08-19 17:50:00,2023-08-12,2023-08-18,5.0,87.0,1025.5,北,1.5,6.7,3.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136347
昆仑站,2023年第33周,2023-08-19 15:16:00,2023-08-12,2023-08-18,-73.2,40.0,571.0,南,0.0,20.0,-77.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136347
泰山站,2023年第33周,2023-08-19 12:42:00,2023-08-12,2023-08-18,-46.4,64.0,696.0,东,11.2,11.5,-50.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136347
长城站,2023年第32周,2023-08-12 17:50:00,2023-08-05,2023-08-11,-4.9,78.0,985.8,西南,14.5,11.2,-11.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136330
新奥尔松,2023年第32周,2023-08-12 17:50:00,2023-08-05,2023-08-11,7.5,94.0,1006.4,东,1.5,9.1,4.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136330
中山站,2023年第32周,2023-08-12 17:49:00,2023-08-05,2023-08-11,-16.8,53.0,963.5,东,10.9,18.1,-35.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136330
泰山站,2023年第32周,2023-08-12 14:47:00,2023-08-05,2023-08-11,-52.1,60.0,681.0,东,14.7,10.1,-60.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136330
昆仑站,2023年第32周,2023-08-12 14:39:00,2023-08-05,2023-08-11,-67.5,44.0,546.0,北,0.0,16.0,-73.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136330
中山站,2023年第31周,2023-08-05 17:54:00,2023-07-29,2023-08-04,-29.7,40.0,978.8,东,9.5,23.3,-37.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136327
新奥尔松,2023年第31周,2023-08-05 17:50:00,2023-07-29,2023-08-04,10.1,92.0,997.2,东南,2.9,8.3,4.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136327
长城站,2023年第31周,2023-08-05 17:45:00,2023-07-29,2023-08-04,-10.5,75.0,983.0,西南,2.3,13.1,-13.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136327
泰山站,2023年第31周,2023-08-05 15:57:00,2023-07-29,2023-08-04,-57.4,56.0,675.0,东,13.4,16.6,-58.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136327
昆仑站,2023年第31周,2023-08-05 15:57:00,2023-07-29,2023-08-04,-72.0,38.0,549.0,南,0.0,15.6,-77.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136327
新奥尔松,2023年第30周,2023-07-29 17:50:00,2023-07-22,2023-07-28,4.8,78.0,1009.2,北,4.4,6.0,4.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136308
中山站,2023年第30周,2023-07-29 17:44:00,2023-07-22,2023-07-28,-28.0,56.0,978.6,东,8.0,7.1,-30.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136308
长城站,2023年第30周,2023-07-29 17:30:00,2023-07-22,2023-07-28,-3.2,98.0,955.8,东,13.5,11.4,-14.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=136308
